epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.33054,1.74028,2.9663,1.32008,0.0063,0.89474,0.47896,0.32014,1.34407,2.94735,1.08659,4e-05,4e-05,4e-05
2,12.2145,1.33231,2.64268,1.16643,0.00704,1,0.48233,0.34486,1.31879,2.94373,1.03723,9.604e-05,9.604e-05,9.604e-05
3,17.9705,1.5259,2.32913,1.18281,0.00704,1,0.48327,0.37008,1.22059,2.87888,1.00635,0.000147328,0.000147328,0.000147328
4,23.7063,1.61443,1.91632,1.08412,0.00704,1,0.48446,0.34944,1.23176,2.78709,1.05464,0.000193864,0.000193864,0.000193864
5,29.4724,1.252,1.77875,1.12279,0.01106,0.49697,0.48641,0.31419,1.30031,2.68683,1.16212,0.000235648,0.000235648,0.000235648
6,35.2113,1.36176,1.37859,1.1579,0.00704,1,0.48717,0.32029,1.27619,2.71144,1.12684,0.00027268,0.00027268,0.00027268
7,40.903,1.31289,1.23908,1.09457,0.00667,0.94737,0.48579,0.33428,1.10722,2.81494,1.02133,0.00030496,0.00030496,0.00030496
8,46.6425,1.28015,1.31847,1.03084,0.00704,1,0.48749,0.34331,1.11664,2.83495,1.01442,0.000332488,0.000332488,0.000332488
9,52.2978,1.26953,1.30193,1.04716,0.00667,0.94737,0.48679,0.35185,1.21964,2.79407,1.03294,0.000355264,0.000355264,0.000355264
10,57.9124,1.18896,1.13588,0.94794,0.00704,1,0.48832,0.36587,1.15874,2.75518,1.02332,0.000373288,0.000373288,0.000373288
11,63.5492,1.29239,1.4073,1.13325,0.00704,1,0.48819,0.33491,1.21583,2.71948,1.02022,0.00038656,0.00038656,0.00038656
12,69.1411,1.14605,1.04123,0.9583,0.84268,0.47368,0.48775,0.34405,1.24,2.71595,1.02891,0.00039508,0.00039508,0.00039508
13,74.808,1.24058,1.21565,0.94881,1,0.11319,0.48152,0.31188,1.31831,2.74147,1.06955,0.000398848,0.000398848,0.000398848
14,80.4384,1.16874,1.09789,0.97334,1,0.14947,0.48794,0.30962,1.31417,2.72003,1.08235,0.000397864,0.000397864,0.000397864
15,86.113,1.15631,1.08142,0.9482,1,0.21245,0.50484,0.35336,1.47194,2.66763,1.09966,0.000392128,0.000392128,0.000392128
16,91.6842,1.04354,1.31243,0.85384,1,0.23119,0.49446,0.34386,1.41505,2.62846,1.0731,0.00038164,0.00038164,0.00038164
17,97.2568,1.1356,1.23216,0.96077,1,0.14289,0.48736,0.33095,1.37441,2.68177,1.07341,0.0003664,0.0003664,0.0003664
18,102.773,1.06788,1.38582,0.93858,1,0.12852,0.35971,0.26036,1.34793,2.74484,1.06658,0.000346408,0.000346408,0.000346408
19,108.37,1.0768,1.34853,0.92549,1,0.12005,0.3522,0.26152,1.32669,2.72138,1.06266,0.000321664,0.000321664,0.000321664
20,113.903,1.17612,1.299,1.06575,1,0.10524,0.48826,0.34293,1.22834,2.59966,1.03475,0.000292168,0.000292168,0.000292168
21,119.409,1.0064,1.21022,0.97006,1,0.29884,0.4995,0.36951,1.21049,2.45008,1.011,0.00025792,0.00025792,0.00025792
22,124.783,1.05296,1.20073,0.9572,1,0.36281,0.5635,0.40475,1.22933,2.32146,1.0077,0.00021892,0.00021892,0.00021892
23,130.26,0.98509,1.1439,0.94664,1,0.46735,0.62863,0.44685,1.22968,2.1948,1.00566,0.000175168,0.000175168,0.000175168
24,135.666,0.88782,1.23135,0.86527,0.97152,0.47368,0.7048,0.50165,1.20866,2.08104,0.9984,0.000126664,0.000126664,0.000126664
25,140.956,1.11898,1.18124,0.95449,0.955,0.47368,0.79051,0.54488,1.19917,1.97236,0.99555,7.3408e-05,7.3408e-05,7.3408e-05
